     http_reqs......................: 12697  42.29813/s
     http_reqs......................: 16099  53.612531/s
     http_reqs......................: 12678  42.215487/s
     http_reqs......................: 15368  51.1767/s
     http_reqs......................: 12506  41.652789/s
     http_reqs......................: 12733  42.414821/s
     http_reqs......................: 12531  41.747194/s
     http_reqs......................: 12770  42.550251/s
     http_reqs......................: 12712  42.338795/s
     http_reqs......................: 12470  41.539241/s
     http_reqs......................: 12530  41.729777/s
     http_reqs......................: 15868  52.83806/s
     http_reqs......................: 12790  42.593575/s
     http_reqs......................: 12760  42.502061/s
     http_reqs......................: 15837  52.746806/s
     http_reqs......................: 12502  41.622013/s
     http_reqs......................: 12396  41.284181/s
     http_reqs......................: 12651  42.134816/s
     http_reqs......................: 12547  41.785142/s
     http_reqs......................: 12538  41.774916/s
     http_reqs......................: 12565  41.830759/s
     http_reqs......................: 12587  41.918905/s
     http_reqs......................: 13022  43.377964/s
     http_reqs......................: 12666  42.183247/s
     http_reqs......................: 12346  41.101287/s
     http_reqs......................: 12561  41.831675/s
     http_reqs......................: 15977  53.239003/s
     http_reqs......................: 15755  52.474636/s
     http_reqs......................: 12894  42.951907/s
     http_reqs......................: 12773  42.538376/s
     http_reqs......................: 12300  40.946811/s
     http_reqs......................: 15651  52.138036/s
     http_reqs......................: 12618  42.015692/s
     http_reqs......................: 12636  42.093009/s
     http_reqs......................: 12533  41.745194/s
     http_reqs......................: 12373  41.191222/s
     http_reqs......................: 12693  42.275363/s
     http_reqs......................: 12587  41.942561/s
     http_reqs......................: 12442  41.428286/s
     http_reqs......................: 12684  42.24324/s
     http_reqs......................: 12444  41.449573/s
     http_reqs......................: 12445  41.453537/s
     http_reqs......................: 12503  41.638072/s
     http_reqs......................: 12687  42.260346/s
     http_reqs......................: 12574  41.882107/s
     http_reqs......................: 12649  42.113517/s
     http_reqs......................: 15651  52.145033/s
     http_reqs......................: 12708  42.321325/s
